순위,단어,품사,초성,은이-는가
840,귀,명,ㄱ,1
7459,귀가,명,ㄱㄱ,1
5725,귀국,명,ㄱㄱ,0
3220,귀신,명,ㄱㅅ,0
8685,귓속,명,ㄱㅅ,0
778,규모,명,ㄱㅁ,1
1552,규정,명,ㄱㅈ,0
2127,규칙,명,ㄱㅊ,0
4117,규칙적,명,ㄱㅊㅈ,0
1778,균형,명,ㄱㅎ,0
10419,귤,명,ㄱ,0
15,그,대,ㄱ,1
5726,그간,명,ㄱㄱ,0
139,그거,대,ㄱㄱ,1
48,그것,대,ㄱㄱ,0
860,그곳,대,ㄱㄱ,0
672,그날,명,ㄱㄴ,0
69,그녀,대,ㄱㄴ,1
4183,그놈,대,ㄱㄴ,0
2436,그늘,명,ㄱㄴ,0
2852,그다음,명,ㄱㄷㅇ,0
3852,그대,대,ㄱㄷ,1
473,그동안,명,ㄱㄷㅇ,0
187,그때,명,ㄱㄸ,1
8686,그래픽,명,ㄱㄹㅍ,0
879,그룹,명,ㄱㄹ,0
1563,그릇,명,ㄱㄹ,0
6752,그리움,명,ㄱㄹㅇ,0
362,그림,명,ㄱㄹ,0
1504,그림자,명,ㄱㄹㅈ,1
2706,그분,대,ㄱㅂ,0
6754,그사이,명,ㄱㅅㅇ,1
2171,그이,대,ㄱㅇ,1
20155,그저께,명,ㄱㅈㄲ,1
6026,그전,명,ㄱㅈ,0
1085,그중,명,ㄱㅈ,0
3027,그쪽,대,ㄱㅉ,0
3794,그해,명,ㄱㅎ,1
2352,극,명,ㄱ,0
4118,극복,명,ㄱㅂ,0
5728,극작가,명,ㄱㅈㄱ,1
2331,극장,명,ㄱㅈ,0
1260,근거,명,ㄱㄱ,1
8687,근교,명,ㄱㄱ,1
4871,근래,명,ㄱㄹ,1
3628,근로,명,ㄱㄹ,1
1971,근로자,명,ㄱㄹㅈ,1
2707,근무,명,ㄱㅁ,1
2378,근본,명,ㄱㅂ,0
1587,근본적,명,ㄱㅂㅈ,0
2918,근원,명,ㄱㅇ,0
2648,근육,명,ㄱㅇ,0
1151,근처,명,ㄱㅊ,1
252,글,명,ㄱ,0
2403,글쓰기,명,ㄱㅆㄱ,1
3976,글씨,명,ㄱㅆ,1
1564,글자,명,ㄱㅈ,1
9942,금,명,ㄱ,0
5323,금,명,ㄱ,0
5000,금강산,고,ㄱㄱㅅ,0
6029,금고,명,ㄱㄱ,1
3262,금년,명,ㄱㄴ,0
8018,금메달,명,ㄱㅁㄷ,0
3913,금액,명,ㄱㅇ,0
5868,금연,명,ㄱㅇ,0
7714,금요일,명,ㄱㅇㅇ,0
2591,금지,명,ㄱㅈ,1
1289,급,명,ㄱ,0
2952,긍정적,명,ㄱㅈㅈ,0
1607,기,명,ㄱ,1
5730,기,명,ㄱ,1
678,기간,명,ㄱㄱ,0
910,기계,명,ㄱㄱ,1
449,기관,명,ㄱㄱ,0
3178,기구,명,ㄱㄱ,1
1250,기구,명,ㄱㄱ,1
3263,기기,명,ㄱㄱ,1
4677,기념,명,ㄱㄴ,0
26081,기념일,명,ㄱㄴㅇ,0
13162,기념품,명,ㄱㄴㅍ,0
5325,기능,명,ㄱㄴ,0
531,기능,명,ㄱㄴ,0
1442,기대,명,ㄱㄷ,1
6758,기도,명,ㄱㄷ,1
4328,기독교,명,ㄱㄷㄱ,1
3855,기둥,명,ㄱㄷ,0
1094,기록,명,ㄱㄹ,0
1893,기름,명,ㄱㄹ,0
2853,기법,명,ㄱㅂ,0
842,기본,명,ㄱㅂ,0
1779,기본적,명,ㄱㅂㅈ,0
525,기분,명,ㄱㅂ,0
1633,기쁨,명,ㄱㅃ,0
4775,기사,명,ㄱㅅ,1
1342,기사,명,ㄱㅅ,1
5588,기성,명,ㄱㅅ,0
5870,기성세대,명,ㄱㅅㅅㄷ,1
4776,기숙사,명,ㄱㅅㅅ,1
328,기술,명,ㄱㅅ,0
4046,기술자,명,ㄱㅅㅈ,1
847,기억,명,ㄱㅇ,0
292,기업,명,ㄱㅇ,0
9066,기업인,명,ㄱㅇㅇ,0
5184,기여,명,ㄱㅇ,1
2379,기온,명,ㄱㅇ,0
2822,기운,명,ㄱㅇ,0
4587,기원,명,ㄱㅇ,0
3067,기원전,명,ㄱㅇㅈ,0
637,기자,명,ㄱㅈ,1
5733,기적,명,ㄱㅈ,0
779,기준,명,ㄱㅈ,0
2919,기차,명,ㄱㅊ,1
1235,기초,명,ㄱㅊ,1
8690,기초적,명,ㄱㅊㅈ,0
7466,기침,명,ㄱㅊ,0
3068,기타,명,ㄱㅌ,1
6372,기타,명,ㄱㅌ,1
5185,기호,명,ㄱㅎ,1
12347,기혼,명,ㄱㅎ,0
770,기회,명,ㄱㅎ,1
2823,기획,명,ㄱㅎ,0
2404,기후,명,ㄱㅎ,1
3069,긴급,명,ㄱㄱ,0
2464,긴장,명,ㄱㅈ,0
6969,긴장감,명,ㄱㅈㄱ,0
173,길,명,ㄱ,0
4588,길가,명,ㄱㄱ,1
6760,길거리,명,ㄱㄱㄹ,1
1283,길이,명,ㄱㅇ,1
6970,김,명,ㄱ,0
